ID,Total NDVI,Average NDVI,Image Name
1,455422,182.1688,Photo1_2023_02_10_13_00_37_NDVI.jpg
2,459932,183.9728,Photo1_2023_02_10_13_00_37_NDVI.jpg
3,456142,182.4568,Photo1_2023_02_10_13_00_37_NDVI.jpg
4,459547,183.8188,Photo1_2023_02_10_13_00_37_NDVI.jpg
5,459984,183.9936,Photo1_2023_02_10_13_00_37_NDVI.jpg
6,461679,184.6716,Photo1_2023_02_10_13_00_37_NDVI.jpg
7,462737,185.0948,Photo1_2023_02_10_13_00_37_NDVI.jpg
8,466852,186.7408,Photo1_2023_02_10_13_00_37_NDVI.jpg
9,457406,182.9624,Photo1_2023_02_10_13_00_37_NDVI.jpg
10,456304,182.5216,Photo1_2023_02_10_13_00_37_NDVI.jpg
1,456546,182.6184,Photo1_2023_02_10_15_00_36_NDVI.jpg
2,457321,182.9284,Photo1_2023_02_10_15_00_36_NDVI.jpg
3,457263,182.9052,Photo1_2023_02_10_15_00_36_NDVI.jpg
4,458553,183.4212,Photo1_2023_02_10_15_00_36_NDVI.jpg
5,461465,184.586,Photo1_2023_02_10_15_00_36_NDVI.jpg
6,462473,184.9892,Photo1_2023_02_10_15_00_36_NDVI.jpg
7,462342,184.9368,Photo1_2023_02_10_15_00_36_NDVI.jpg
8,467646,187.0584,Photo1_2023_02_10_15_00_36_NDVI.jpg
9,455851,182.3404,Photo1_2023_02_10_15_00_36_NDVI.jpg
10,457182,182.8728,Photo1_2023_02_10_15_00_36_NDVI.jpg
1,458881,183.5524,Photo1_2023_02_10_11_00_37_NDVI.jpg
2,454610,181.844,Photo1_2023_02_10_11_00_37_NDVI.jpg
3,455210,182.084,Photo1_2023_02_10_11_00_37_NDVI.jpg
4,455470,182.188,Photo1_2023_02_10_11_00_37_NDVI.jpg
5,456862,182.7448,Photo1_2023_02_10_11_00_37_NDVI.jpg
6,458245,183.298,Photo1_2023_02_10_11_00_37_NDVI.jpg
7,458899,183.5596,Photo1_2023_02_10_11_00_37_NDVI.jpg
8,459484,183.7936,Photo1_2023_02_10_11_00_37_NDVI.jpg
9,453112,181.2448,Photo1_2023_02_10_11_00_37_NDVI.jpg
10,452318,180.9272,Photo1_2023_02_10_11_00_37_NDVI.jpg
1,459350,183.74,Photo1_2023_02_10_10_00_38_NDVI.jpg
2,454366,181.7464,Photo1_2023_02_10_10_00_38_NDVI.jpg
3,453804,181.5216,Photo1_2023_02_10_10_00_38_NDVI.jpg
4,456925,182.77,Photo1_2023_02_10_10_00_38_NDVI.jpg
5,455075,182.03,Photo1_2023_02_10_10_00_38_NDVI.jpg
6,452606,181.0424,Photo1_2023_02_10_10_00_38_NDVI.jpg
7,455674,182.2696,Photo1_2023_02_10_10_00_38_NDVI.jpg
8,452776,181.1104,Photo1_2023_02_10_10_00_38_NDVI.jpg
9,451016,180.4064,Photo1_2023_02_10_10_00_38_NDVI.jpg
10,451075,180.43,Photo1_2023_02_10_10_00_38_NDVI.jpg
1,455111,182.0444,Photo1_2023_02_10_14_00_39_NDVI.jpg
2,456246,182.4984,Photo1_2023_02_10_14_00_39_NDVI.jpg
3,457074,182.8296,Photo1_2023_02_10_14_00_39_NDVI.jpg
4,458386,183.3544,Photo1_2023_02_10_14_00_39_NDVI.jpg
5,460751,184.3004,Photo1_2023_02_10_14_00_39_NDVI.jpg
6,460179,184.0716,Photo1_2023_02_10_14_00_39_NDVI.jpg
7,460827,184.3308,Photo1_2023_02_10_14_00_39_NDVI.jpg
8,465635,186.254,Photo1_2023_02_10_14_00_39_NDVI.jpg
9,456873,182.7492,Photo1_2023_02_10_14_00_39_NDVI.jpg
10,456926,182.7704,Photo1_2023_02_10_14_00_39_NDVI.jpg
1,456985,182.794,Photo1_2023_02_11_13_00_37_NDVI.jpg
2,460305,184.122,Photo1_2023_02_11_13_00_37_NDVI.jpg
3,461895,184.758,Photo1_2023_02_11_13_00_37_NDVI.jpg
4,460896,184.3584,Photo1_2023_02_11_13_00_37_NDVI.jpg
5,463361,185.3444,Photo1_2023_02_11_13_00_37_NDVI.jpg
6,463172,185.2688,Photo1_2023_02_11_13_00_37_NDVI.jpg
7,464283,185.7132,Photo1_2023_02_11_13_00_37_NDVI.jpg
8,468744,187.4976,Photo1_2023_02_11_13_00_37_NDVI.jpg
9,458007,183.2028,Photo1_2023_02_11_13_00_37_NDVI.jpg
10,457540,183.016,Photo1_2023_02_11_13_00_37_NDVI.jpg
1,459051,183.6204,Photo1_2023_02_11_11_00_36_NDVI.jpg
2,455455,182.182,Photo1_2023_02_11_11_00_36_NDVI.jpg
3,456472,182.5888,Photo1_2023_02_11_11_00_36_NDVI.jpg
4,462214,184.8856,Photo1_2023_02_11_11_00_36_NDVI.jpg
5,460874,184.3496,Photo1_2023_02_11_11_00_36_NDVI.jpg
6,457301,182.9204,Photo1_2023_02_11_11_00_36_NDVI.jpg
7,461238,184.4952,Photo1_2023_02_11_11_00_36_NDVI.jpg
8,463227,185.2908,Photo1_2023_02_11_11_00_36_NDVI.jpg
9,453092,181.2368,Photo1_2023_02_11_11_00_36_NDVI.jpg
10,453599,181.4396,Photo1_2023_02_11_11_00_36_NDVI.jpg
1,456660,182.664,Photo1_2023_02_11_15_00_42_NDVI.jpg
2,458987,183.5948,Photo1_2023_02_11_15_00_42_NDVI.jpg
3,458568,183.4272,Photo1_2023_02_11_15_00_42_NDVI.jpg
4,460457,184.1828,Photo1_2023_02_11_15_00_42_NDVI.jpg
5,464636,185.8544,Photo1_2023_02_11_15_00_42_NDVI.jpg
6,463777,185.5108,Photo1_2023_02_11_15_00_42_NDVI.jpg
7,465241,186.0964,Photo1_2023_02_11_15_00_42_NDVI.jpg
8,467578,187.0312,Photo1_2023_02_11_15_00_42_NDVI.jpg
9,456745,182.698,Photo1_2023_02_11_15_00_42_NDVI.jpg
10,457648,183.0592,Photo1_2023_02_11_15_00_42_NDVI.jpg
1,459637,183.8548,Photo1_2023_02_11_12_00_38_NDVI.jpg
2,462235,184.894,Photo1_2023_02_11_12_00_38_NDVI.jpg
3,462146,184.8584,Photo1_2023_02_11_12_00_38_NDVI.jpg
4,460622,184.2488,Photo1_2023_02_11_12_00_38_NDVI.jpg
5,463284,185.3136,Photo1_2023_02_11_12_00_38_NDVI.jpg
6,461664,184.6656,Photo1_2023_02_11_12_00_38_NDVI.jpg
7,466082,186.4328,Photo1_2023_02_11_12_00_38_NDVI.jpg
8,467317,186.9268,Photo1_2023_02_11_12_00_38_NDVI.jpg
9,461862,184.7448,Photo1_2023_02_11_12_00_38_NDVI.jpg
10,460509,184.2036,Photo1_2023_02_11_12_00_38_NDVI.jpg
1,460849,184.3396,Photo1_2023_02_11_14_00_39_NDVI.jpg
2,462673,185.0692,Photo1_2023_02_11_14_00_39_NDVI.jpg
3,463319,185.3276,Photo1_2023_02_11_14_00_39_NDVI.jpg
4,465990,186.396,Photo1_2023_02_11_14_00_39_NDVI.jpg
5,464951,185.9804,Photo1_2023_02_11_14_00_39_NDVI.jpg
6,465148,186.0592,Photo1_2023_02_11_14_00_39_NDVI.jpg
7,466076,186.4304,Photo1_2023_02_11_14_00_39_NDVI.jpg
8,469630,187.852,Photo1_2023_02_11_14_00_39_NDVI.jpg
9,457117,182.8468,Photo1_2023_02_11_14_00_39_NDVI.jpg
10,456727,182.6908,Photo1_2023_02_11_14_00_39_NDVI.jpg
1,461147,184.4588,Photo1_2023_02_05_11_00_45_NDVI.jpg
2,457142,182.8568,Photo1_2023_02_05_11_00_45_NDVI.jpg
3,456652,182.6608,Photo1_2023_02_05_11_00_45_NDVI.jpg
4,457788,183.1152,Photo1_2023_02_05_11_00_45_NDVI.jpg
5,456232,182.4928,Photo1_2023_02_05_11_00_45_NDVI.jpg
6,455810,182.324,Photo1_2023_02_05_11_00_45_NDVI.jpg
7,455640,182.256,Photo1_2023_02_05_11_00_45_NDVI.jpg
8,455759,182.3036,Photo1_2023_02_05_11_00_45_NDVI.jpg
9,454329,181.7316,Photo1_2023_02_05_11_00_45_NDVI.jpg
10,450531,180.2124,Photo1_2023_02_05_11_00_45_NDVI.jpg
1,465461,186.1844,Photo1_2023_02_05_10_00_36_NDVI.jpg
2,466140,186.456,Photo1_2023_02_05_10_00_36_NDVI.jpg
3,465939,186.3756,Photo1_2023_02_05_10_00_36_NDVI.jpg
4,465032,186.0128,Photo1_2023_02_05_10_00_36_NDVI.jpg
5,464848,185.9392,Photo1_2023_02_05_10_00_36_NDVI.jpg
6,464113,185.6452,Photo1_2023_02_05_10_00_36_NDVI.jpg
7,463923,185.5692,Photo1_2023_02_05_10_00_36_NDVI.jpg
8,464880,185.952,Photo1_2023_02_05_10_00_36_NDVI.jpg
9,465109,186.0436,Photo1_2023_02_05_10_00_36_NDVI.jpg
10,464430,185.772,Photo1_2023_02_05_10_00_36_NDVI.jpg
1,462022,184.8088,Photo1_2023_02_05_15_00_36_NDVI.jpg
2,463316,185.3264,Photo1_2023_02_05_15_00_36_NDVI.jpg
3,464699,185.8796,Photo1_2023_02_05_15_00_36_NDVI.jpg
4,461643,184.6572,Photo1_2023_02_05_15_00_36_NDVI.jpg
5,463897,185.5588,Photo1_2023_02_05_15_00_36_NDVI.jpg
6,463634,185.4536,Photo1_2023_02_05_15_00_36_NDVI.jpg
7,462700,185.08,Photo1_2023_02_05_15_00_36_NDVI.jpg
8,465453,186.1812,Photo1_2023_02_05_15_00_36_NDVI.jpg
9,462486,184.9944,Photo1_2023_02_05_15_00_36_NDVI.jpg
10,462028,184.8112,Photo1_2023_02_05_15_00_36_NDVI.jpg
1,463676,185.4704,Photo1_2023_02_05_12_00_37_NDVI.jpg
2,464959,185.9836,Photo1_2023_02_05_12_00_37_NDVI.jpg
3,464393,185.7572,Photo1_2023_02_05_12_00_37_NDVI.jpg
4,463581,185.4324,Photo1_2023_02_05_12_00_37_NDVI.jpg
5,464224,185.6896,Photo1_2023_02_05_12_00_37_NDVI.jpg
6,462718,185.0872,Photo1_2023_02_05_12_00_37_NDVI.jpg
7,462212,184.8848,Photo1_2023_02_05_12_00_37_NDVI.jpg
8,462587,185.0348,Photo1_2023_02_05_12_00_37_NDVI.jpg
9,463923,185.5692,Photo1_2023_02_05_12_00_37_NDVI.jpg
10,464361,185.7444,Photo1_2023_02_05_12_00_37_NDVI.jpg
1,461094,184.4376,Photo1_2023_02_05_13_00_36_NDVI.jpg
2,464380,185.752,Photo1_2023_02_05_13_00_36_NDVI.jpg
3,461422,184.5688,Photo1_2023_02_05_13_00_36_NDVI.jpg
4,462375,184.95,Photo1_2023_02_05_13_00_36_NDVI.jpg
5,462145,184.858,Photo1_2023_02_05_13_00_36_NDVI.jpg
6,461381,184.5524,Photo1_2023_02_05_13_00_36_NDVI.jpg
7,460033,184.0132,Photo1_2023_02_05_13_00_36_NDVI.jpg
8,461055,184.422,Photo1_2023_02_05_13_00_36_NDVI.jpg
9,460731,184.2924,Photo1_2023_02_05_13_00_36_NDVI.jpg
10,458576,183.4304,Photo1_2023_02_05_13_00_36_NDVI.jpg
1,458442,183.3768,Photo1_2023_02_05_14_00_36_NDVI.jpg
2,463437,185.3748,Photo1_2023_02_05_14_00_36_NDVI.jpg
3,464573,185.8292,Photo1_2023_02_05_14_00_36_NDVI.jpg
4,466529,186.6116,Photo1_2023_02_05_14_00_36_NDVI.jpg
5,468509,187.4036,Photo1_2023_02_05_14_00_36_NDVI.jpg
6,471798,188.7192,Photo1_2023_02_05_14_00_36_NDVI.jpg
7,468215,187.286,Photo1_2023_02_05_14_00_36_NDVI.jpg
8,473097,189.2388,Photo1_2023_02_05_14_00_36_NDVI.jpg
9,458752,183.5008,Photo1_2023_02_05_14_00_36_NDVI.jpg
10,458685,183.474,Photo1_2023_02_05_14_00_36_NDVI.jpg
1,462356,184.9424,Photo1_2023_02_04_13_00_39_NDVI.jpg
2,470342,188.1368,Photo1_2023_02_04_13_00_39_NDVI.jpg
3,467821,187.1284,Photo1_2023_02_04_13_00_39_NDVI.jpg
4,464496,185.7984,Photo1_2023_02_04_13_00_39_NDVI.jpg
5,467892,187.1568,Photo1_2023_02_04_13_00_39_NDVI.jpg
6,471015,188.406,Photo1_2023_02_04_13_00_39_NDVI.jpg
7,470108,188.0432,Photo1_2023_02_04_13_00_39_NDVI.jpg
8,475523,190.2092,Photo1_2023_02_04_13_00_39_NDVI.jpg
9,460653,184.2612,Photo1_2023_02_04_13_00_39_NDVI.jpg
10,460149,184.0596,Photo1_2023_02_04_13_00_39_NDVI.jpg
1,463593,185.4372,Photo1_2023_02_04_15_00_38_NDVI.jpg
2,468715,187.486,Photo1_2023_02_04_15_00_38_NDVI.jpg
3,467932,187.1728,Photo1_2023_02_04_15_00_38_NDVI.jpg
4,464358,185.7432,Photo1_2023_02_04_15_00_38_NDVI.jpg
5,467823,187.1292,Photo1_2023_02_04_15_00_38_NDVI.jpg
6,465403,186.1612,Photo1_2023_02_04_15_00_38_NDVI.jpg
7,465587,186.2348,Photo1_2023_02_04_15_00_38_NDVI.jpg
8,474022,189.6088,Photo1_2023_02_04_15_00_38_NDVI.jpg
9,462909,185.1636,Photo1_2023_02_04_15_00_38_NDVI.jpg
10,461957,184.7828,Photo1_2023_02_04_15_00_38_NDVI.jpg
1,460141,184.0564,Photo1_2023_02_04_11_00_38_NDVI.jpg
2,463193,185.2772,Photo1_2023_02_04_11_00_38_NDVI.jpg
3,464292,185.7168,Photo1_2023_02_04_11_00_38_NDVI.jpg
4,460239,184.0956,Photo1_2023_02_04_11_00_38_NDVI.jpg
5,458814,183.5256,Photo1_2023_02_04_11_00_38_NDVI.jpg
6,460319,184.1276,Photo1_2023_02_04_11_00_38_NDVI.jpg
7,460337,184.1348,Photo1_2023_02_04_11_00_38_NDVI.jpg
8,464887,185.9548,Photo1_2023_02_04_11_00_38_NDVI.jpg
9,461009,184.4036,Photo1_2023_02_04_11_00_38_NDVI.jpg
10,461273,184.5092,Photo1_2023_02_04_11_00_38_NDVI.jpg
1,461723,184.6892,Photo1_2023_02_04_14_00_41_NDVI.jpg
2,468402,187.3608,Photo1_2023_02_04_14_00_41_NDVI.jpg
3,467474,186.9896,Photo1_2023_02_04_14_00_41_NDVI.jpg
4,464323,185.7292,Photo1_2023_02_04_14_00_41_NDVI.jpg
5,466122,186.4488,Photo1_2023_02_04_14_00_41_NDVI.jpg
6,466941,186.7764,Photo1_2023_02_04_14_00_41_NDVI.jpg
7,466617,186.6468,Photo1_2023_02_04_14_00_41_NDVI.jpg
8,471350,188.54,Photo1_2023_02_04_14_00_41_NDVI.jpg
9,461386,184.5544,Photo1_2023_02_04_14_00_41_NDVI.jpg
10,460727,184.2908,Photo1_2023_02_04_14_00_41_NDVI.jpg
1,461429,184.5716,Photo1_2023_02_04_12_00_36_NDVI.jpg
2,469820,187.928,Photo1_2023_02_04_12_00_36_NDVI.jpg
3,467350,186.94,Photo1_2023_02_04_12_00_36_NDVI.jpg
4,463450,185.38,Photo1_2023_02_04_12_00_36_NDVI.jpg
5,466219,186.4876,Photo1_2023_02_04_12_00_36_NDVI.jpg
6,467143,186.8572,Photo1_2023_02_04_12_00_36_NDVI.jpg
7,467580,187.032,Photo1_2023_02_04_12_00_36_NDVI.jpg
8,473234,189.2936,Photo1_2023_02_04_12_00_36_NDVI.jpg
9,460104,184.0416,Photo1_2023_02_04_12_00_36_NDVI.jpg
10,460550,184.22,Photo1_2023_02_04_12_00_36_NDVI.jpg
1,463784,185.5136,Photo1_2023_02_03_18_55_30_NDVI.jpg
2,467198,186.8792,Photo1_2023_02_03_18_55_30_NDVI.jpg
3,467034,186.8136,Photo1_2023_02_03_18_55_30_NDVI.jpg
4,462977,185.1908,Photo1_2023_02_03_18_55_30_NDVI.jpg
5,462490,184.996,Photo1_2023_02_03_18_55_30_NDVI.jpg
6,461665,184.666,Photo1_2023_02_03_18_55_30_NDVI.jpg
7,461864,184.7456,Photo1_2023_02_03_18_55_30_NDVI.jpg
8,460960,184.384,Photo1_2023_02_03_18_55_30_NDVI.jpg
9,464033,185.6132,Photo1_2023_02_03_18_55_30_NDVI.jpg
10,463801,185.5204,Photo1_2023_02_03_18_55_30_NDVI.jpg
1,459120,183.648,Photo1_2023_02_14_13_00_39_NDVI.jpg
2,458750,183.5,Photo1_2023_02_14_13_00_39_NDVI.jpg
3,459112,183.6448,Photo1_2023_02_14_13_00_39_NDVI.jpg
4,459004,183.6016,Photo1_2023_02_14_13_00_39_NDVI.jpg
5,457870,183.148,Photo1_2023_02_14_13_00_39_NDVI.jpg
6,457990,183.196,Photo1_2023_02_14_13_00_39_NDVI.jpg
7,457824,183.1296,Photo1_2023_02_14_13_00_39_NDVI.jpg
8,458157,183.2628,Photo1_2023_02_14_13_00_39_NDVI.jpg
9,459334,183.7336,Photo1_2023_02_14_13_00_39_NDVI.jpg
10,458865,183.546,Photo1_2023_02_14_13_00_39_NDVI.jpg
1,457274,182.9096,Photo1_2023_02_12_14_00_36_NDVI.jpg
2,459665,183.866,Photo1_2023_02_12_14_00_36_NDVI.jpg
3,459810,183.924,Photo1_2023_02_12_14_00_36_NDVI.jpg
4,456330,182.532,Photo1_2023_02_12_14_00_36_NDVI.jpg
